trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N2,2,False,Control,N2,N,3,False
2,N2,2,False,Control,N2,N,3,False
3,N2,2,False,Control,N2,N,3,False
4,N2,2,False,Control,N2,N,3,False
5,N2,2,False,Control,N2,N,3,False
6,N2,2,False,Control,N2,N,3,False
7,N2,2,False,Control,N2,N,3,False
8,N2,2,False,Control,N2,N,3,False
9,N2,2,False,Control,N2,N,3,False
10,N2,2,False,Control,N2,N,3,False
11,N2,2,False,Control,N2,N,3,False
12,N2,2,False,Control,N2,N,3,False
13,N,11,True,Control,N2,N,3,False
14,N2,2,False,Control,N2,N,3,True
15,N2,2,False,Control,N2,N,3,False
16,N2,2,False,Control,N2,N,3,False
17,N2,2,False,Control,N2,N,3,False
18,N2,2,False,Control,N2,N,3,False
19,N,11,True,Control,N2,N,3,False
20,N2,2,False,Control,N2,N,3,True
21,N2,2,False,Control,N2,N,3,False
22,N2,2,False,Control,N2,N,3,False
23,N2,2,False,Control,N2,N,3,False
24,N2,2,False,Control,N2,N,3,False
25,N,11,True,Control,N2,N,3,False
26,N2,2,False,Control,N2,N,3,True
27,N2,2,False,Control,N2,N,3,False
28,N2,2,False,Control,N2,N,3,False
29,N2,2,False,Control,N2,N,3,False
30,N2,2,False,Control,N2,N,3,False
31,N,11,True,Control,N2,N,3,False
32,N2,2,False,Control,N2,N,3,True
33,N2,2,False,Control,N2,N,3,False
34,N2,2,False,Control,N2,N,3,False
35,N2,2,False,Control,N2,N,3,False
36,N2,2,False,Control,N2,N,3,False
37,N,11,True,Control,N2,N,3,False
38,N2,2,False,Control,N2,N,3,True
39,N2,2,False,Control,N2,N,3,False
40,N2,2,False,Control,N2,N,3,False
41,N2,2,False,Control,N2,N,3,False
42,N2,2,False,Control,N2,N,3,False
43,N,11,True,Control,N2,N,3,False
44,N2,2,False,Control,N2,N,3,True
45,N2,2,False,Control,N2,N,3,False
46,N2,2,False,Control,N2,N,3,False
47,N2,2,False,Control,N2,N,3,False
48,N2,2,False,Control,N2,N,3,False
49,N,11,True,Control,N2,N,3,False
50,N2,2,False,Control,N2,N,3,True
51,N2,2,False,Control,N2,N,3,False
52,N2,2,False,Control,N2,N,3,False
53,N2,2,False,Control,N2,N,3,False
54,N2,2,False,Control,N2,N,3,False
55,N,11,True,Control,N2,N,3,False
56,N2,2,False,Control,N2,N,3,True
57,N2,2,False,Control,N2,N,3,False
58,N2,2,False,Control,N2,N,3,False
59,N2,2,False,Control,N2,N,3,False
60,N2,2,False,Control,N2,N,3,False
61,N,11,True,Control,N2,N,3,False
62,N2,2,False,Control,N2,N,3,True
63,N2,2,False,Control,N2,N,3,False
64,N2,2,False,Control,N2,N,3,False
65,N2,2,False,Control,N2,N,3,False
66,N2,2,False,Control,N2,N,3,False
67,N,11,True,Control,N2,N,3,False
68,N2,2,False,Control,N2,N,3,True
69,N2,2,False,Control,N2,N,3,False
70,N2,2,False,Control,N2,N,3,False
71,N2,2,False,Control,N2,N,3,False
72,N2,2,False,Control,N2,N,3,False
73,N,11,True,Control,N2,N,3,False
74,N2,2,False,Control,N2,N,3,True
75,N2,2,False,Control,N2,N,3,False
76,N2,2,False,Control,N2,N,3,False
77,N2,2,False,Control,N2,N,3,False
78,N2,2,False,Control,N2,N,3,False
79,N,11,True,Control,N2,N,3,False
80,N2,2,False,Control,N2,N,3,True
81,N2,2,False,Control,N2,N,3,False
82,N2,2,False,Control,N2,N,3,False
83,N2,2,False,Control,N2,N,3,False
84,N2,2,False,Control,N2,N,3,False
85,N,11,True,Control,N2,N,3,False
86,N2,2,False,Control,N2,N,3,True
87,N2,2,False,Control,N2,N,3,False
88,N2,2,False,Control,N2,N,3,False
89,N2,2,False,Control,N2,N,3,False
90,N2,2,False,Control,N2,N,3,False
91,N,11,True,Control,N2,N,3,False
92,N2,2,False,Control,N2,N,3,True
93,N2,2,False,Control,N2,N,3,False
94,N2,2,False,Control,N2,N,3,False
95,N,11,True,Control,N2,N,3,False
96,N2,2,False,Control,N2,N,3,True
97,N2,2,False,Control,N2,N,3,False
98,N2,2,False,Control,N2,N,3,False
99,N2,2,False,Control,N2,N,3,False
100,N2,2,False,Control,N2,N,3,False
101,N,11,True,Control,N2,N,3,False
102,N2,2,False,Control,N2,N,3,True
103,N2,2,False,Control,N2,N,3,False
104,N2,2,False,Control,N2,N,3,False
105,N2,2,False,Control,N2,N,3,False
106,N,11,True,Control,N2,N,3,False
107,N2,2,False,Control,N2,N,3,True
108,N2,2,False,Control,N2,N,3,False
109,N2,2,False,Control,N2,N,3,False
110,N2,2,False,Control,N2,N,3,False
111,N2,2,False,Control,N2,N,3,False
112,N,11,True,Control,N2,N,3,False
113,N2,2,False,Control,N2,N,3,True
114,N2,2,False,Control,N2,N,3,False
115,N2,2,False,Control,N2,N,3,False
116,N2,2,False,Control,N2,N,3,False
117,N2,2,False,Control,N2,N,3,False
118,N,11,True,Control,N2,N,3,False
119,N2,2,False,Control,N2,N,3,True
120,N2,2,False,Control,N2,N,3,False
121,N2,2,False,Control,N2,N,3,False
122,N2,2,False,Control,N2,N,3,False
123,N2,2,False,Control,N2,N,3,False
