73.5152 	EXP 	Sound  stopped
73.5153 	EXP 	Sound  started
74.3225 	EXP 	Sound  stopped
74.3225 	EXP 	Sound  started
75.1308 	EXP 	Sound  stopped
75.1308 	EXP 	Sound  started
75.9386 	EXP 	Sound  stopped
75.9387 	EXP 	Sound  started
76.7463 	EXP 	Sound  stopped
76.7463 	EXP 	Sound  started
77.5533 	EXP 	Sound  stopped
77.5533 	EXP 	Sound  started
78.3610 	EXP 	Sound  stopped
78.3610 	EXP 	Sound  started
79.1684 	EXP 	Sound  stopped
79.1684 	EXP 	Sound  started
79.9765 	EXP 	Sound  stopped
79.9765 	EXP 	Sound  started
80.7841 	EXP 	Sound  stopped
80.7841 	EXP 	Sound  started
81.5916 	EXP 	Sound  stopped
81.5916 	EXP 	Sound  started
82.3994 	EXP 	Sound  stopped
82.3995 	EXP 	Sound  started
83.2070 	EXP 	Sound  stopped
83.2070 	EXP 	Sound  started
84.0148 	EXP 	Sound  stopped
84.0148 	EXP 	Sound  started
84.8230 	EXP 	Sound  stopped
84.8230 	EXP 	Sound  started
85.6307 	EXP 	Sound  stopped
85.6307 	EXP 	Sound  started
86.4380 	EXP 	Sound  stopped
86.4381 	EXP 	Sound  started
87.2454 	EXP 	Sound  stopped
87.2454 	EXP 	Sound  started
88.0540 	EXP 	Sound  stopped
88.0540 	EXP 	Sound  started
88.8621 	EXP 	Sound  stopped
88.8622 	EXP 	Sound  started
89.6701 	EXP 	Sound  stopped
89.6701 	EXP 	Sound  started
90.4777 	EXP 	Sound  stopped
90.4778 	EXP 	Sound  started
91.2845 	EXP 	Sound  stopped
91.2845 	EXP 	Sound  started
92.0931 	EXP 	Sound  stopped
92.0931 	EXP 	Sound  started
92.9003 	EXP 	Sound  stopped
92.9003 	EXP 	Sound  started
93.7082 	EXP 	Sound  stopped
93.7082 	EXP 	Sound  started
94.5155 	EXP 	Sound  stopped
94.5156 	EXP 	Sound  started
95.3224 	EXP 	Sound  stopped
95.3225 	EXP 	Sound  started
96.1301 	EXP 	Sound  stopped
96.1301 	EXP 	Sound  started
96.9386 	EXP 	Sound  stopped
96.9386 	EXP 	Sound  started
97.7681 	EXP 	Sound  stopped
97.7681 	EXP 	Sound  started
98.5766 	EXP 	Sound  stopped
98.5766 	EXP 	Sound  started
99.3853 	EXP 	Sound  stopped
99.3854 	EXP 	Sound  started
100.1935 	EXP 	Sound  stopped
100.1936 	EXP 	Sound  started
101.0011 	EXP 	Sound  stopped
101.0012 	EXP 	Sound  started
101.8084 	EXP 	Sound  stopped
101.8085 	EXP 	Sound  started
102.6166 	EXP 	Sound  stopped
102.6166 	EXP 	Sound  started
103.4244 	EXP 	Sound  stopped
103.4244 	EXP 	Sound  started
104.2326 	EXP 	Sound  stopped
104.2327 	EXP 	Sound  started
105.0405 	EXP 	Sound  stopped
105.0405 	EXP 	Sound  started
105.8477 	EXP 	Sound  stopped
105.8477 	EXP 	Sound  started
106.6550 	EXP 	Sound  stopped
106.6550 	EXP 	Sound  started
107.4633 	EXP 	Sound  stopped
107.4634 	EXP 	Sound  started
108.2709 	EXP 	Sound  stopped
108.2709 	EXP 	Sound  started
109.0791 	EXP 	Sound  stopped
109.0791 	EXP 	Sound  started
109.8874 	EXP 	Sound  stopped
109.8874 	EXP 	Sound  started
110.6950 	EXP 	Sound  stopped
110.6950 	EXP 	Sound  started
111.5028 	EXP 	Sound  stopped
111.5028 	EXP 	Sound  started
112.3090 	EXP 	Sound  stopped
112.3090 	EXP 	Sound  started
113.1166 	EXP 	Sound  stopped
113.1166 	EXP 	Sound  started
113.9242 	EXP 	Sound  stopped
113.9242 	EXP 	Sound  started
114.7315 	EXP 	Sound  stopped
114.7315 	EXP 	Sound  started
115.5389 	EXP 	Sound  stopped
115.5390 	EXP 	Sound  started
116.3465 	EXP 	Sound  stopped
116.3466 	EXP 	Sound  started
117.1539 	EXP 	Sound  stopped
117.1540 	EXP 	Sound  started
117.9618 	EXP 	Sound  stopped
117.9618 	EXP 	Sound  started
118.7689 	EXP 	Sound  stopped
118.7689 	EXP 	Sound  started
119.5772 	EXP 	Sound  stopped
119.5772 	EXP 	Sound  started
120.3848 	EXP 	Sound  stopped
120.3848 	EXP 	Sound  started
121.1923 	EXP 	Sound  stopped
121.1923 	EXP 	Sound  started
122.0002 	EXP 	Sound  stopped
122.0002 	EXP 	Sound  started
122.8071 	EXP 	Sound  stopped
122.8071 	EXP 	Sound  started
123.6145 	EXP 	Sound  stopped
123.6145 	EXP 	Sound  started
124.4226 	EXP 	Sound  stopped
124.4226 	EXP 	Sound  started
125.2296 	EXP 	Sound  stopped
125.2296 	EXP 	Sound  started
126.0380 	EXP 	Sound  stopped
126.0381 	EXP 	Sound  started
126.8462 	EXP 	Sound  stopped
126.8463 	EXP 	Sound  started
127.6533 	EXP 	Sound  stopped
127.6533 	EXP 	Sound  started
128.4614 	EXP 	Sound  stopped
128.4615 	EXP 	Sound  started
129.2688 	EXP 	Sound  stopped
129.2689 	EXP 	Sound  started
134.1028 	EXP 	break_text: height = 0.06
134.1028 	EXP 	break_text: height = 0.06
134.1028 	EXP 	break_text: height = 0.06
134.1028 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.2067 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.3109 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.4150 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.5190 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.6230 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.7270 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.8304 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
134.9338 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
135.0376 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 0 seconds.\n\n(Or press SPACE to continue now)'
135.1445 	EXP 	block_progress: height = 0.04
135.1445 	EXP 	block_progress: height = 0.04
135.1445 	EXP 	block_progress: height = 0.04
135.1445 	EXP 	block_progress: text = 'Block 2/3'
137.1539 	EXP 	Sound  started
137.9615 	EXP 	Sound  stopped
137.9615 	EXP 	Sound  started
138.7689 	EXP 	Sound  stopped
138.7689 	EXP 	Sound  started
139.5771 	EXP 	Sound  stopped
139.5771 	EXP 	Sound  started
140.3849 	EXP 	Sound  stopped
140.3849 	EXP 	Sound  started
141.1926 	EXP 	Sound  stopped
141.1927 	EXP 	Sound  started
142.0002 	EXP 	Sound  stopped
142.0002 	EXP 	Sound  started
142.8074 	EXP 	Sound  stopped
142.8075 	EXP 	Sound  started
143.6148 	EXP 	Sound  stopped
143.6148 	EXP 	Sound  started
144.4224 	EXP 	Sound  stopped
144.4224 	EXP 	Sound  started
145.2298 	EXP 	Sound  stopped
145.2298 	EXP 	Sound  started
146.0377 	EXP 	Sound  stopped
146.0377 	EXP 	Sound  started
146.8464 	EXP 	Sound  stopped
146.8464 	EXP 	Sound  started
147.6541 	EXP 	Sound  stopped
147.6542 	EXP 	Sound  started
148.4622 	EXP 	Sound  stopped
148.4622 	EXP 	Sound  started
149.2691 	EXP 	Sound  stopped
149.2691 	EXP 	Sound  started
150.0767 	EXP 	Sound  stopped
150.0767 	EXP 	Sound  started
150.8853 	EXP 	Sound  stopped
150.8854 	EXP 	Sound  started
151.6937 	EXP 	Sound  stopped
151.6937 	EXP 	Sound  started
152.5023 	EXP 	Sound  stopped
152.5023 	EXP 	Sound  started
153.3090 	EXP 	Sound  stopped
153.3091 	EXP 	Sound  started
154.1169 	EXP 	Sound  stopped
154.1169 	EXP 	Sound  started
154.9243 	EXP 	Sound  stopped
154.9243 	EXP 	Sound  started
155.7318 	EXP 	Sound  stopped
155.7319 	EXP 	Sound  started
156.5397 	EXP 	Sound  stopped
156.5398 	EXP 	Sound  started
157.3478 	EXP 	Sound  stopped
157.3478 	EXP 	Sound  started
158.1554 	EXP 	Sound  stopped
158.1554 	EXP 	Sound  started
158.9634 	EXP 	Sound  stopped
158.9635 	EXP 	Sound  started
159.7704 	EXP 	Sound  stopped
159.7705 	EXP 	Sound  started
160.5783 	EXP 	Sound  stopped
160.5784 	EXP 	Sound  started
161.3865 	EXP 	Sound  stopped
161.3865 	EXP 	Sound  started
162.1940 	EXP 	Sound  stopped
162.1941 	EXP 	Sound  started
163.0018 	EXP 	Sound  stopped
163.0019 	EXP 	Sound  started
163.8087 	EXP 	Sound  stopped
163.8087 	EXP 	Sound  started
164.6168 	EXP 	Sound  stopped
164.6169 	EXP 	Sound  started
165.4244 	EXP 	Sound  stopped
165.4245 	EXP 	Sound  started
166.2349 	EXP 	Sound  stopped
166.2350 	EXP 	Sound  started
167.0430 	EXP 	Sound  stopped
167.0430 	EXP 	Sound  started
167.8501 	EXP 	Sound  stopped
167.8502 	EXP 	Sound  started
168.6580 	EXP 	Sound  stopped
168.6580 	EXP 	Sound  started
169.4653 	EXP 	Sound  stopped
169.4653 	EXP 	Sound  started
170.2715 	EXP 	Sound  stopped
170.2715 	EXP 	Sound  started
171.0791 	EXP 	Sound  stopped
171.0792 	EXP 	Sound  started
171.8867 	EXP 	Sound  stopped
171.8867 	EXP 	Sound  started
172.6949 	EXP 	Sound  stopped
172.6949 	EXP 	Sound  started
173.5029 	EXP 	Sound  stopped
173.5029 	EXP 	Sound  started
174.3107 	EXP 	Sound  stopped
174.3107 	EXP 	Sound  started
175.1188 	EXP 	Sound  stopped
175.1188 	EXP 	Sound  started
175.9265 	EXP 	Sound  stopped
175.9265 	EXP 	Sound  started
176.7343 	EXP 	Sound  stopped
176.7343 	EXP 	Sound  started
177.5427 	EXP 	Sound  stopped
177.5428 	EXP 	Sound  started
178.3501 	EXP 	Sound  stopped
178.3501 	EXP 	Sound  started
179.1585 	EXP 	Sound  stopped
179.1585 	EXP 	Sound  started
179.9658 	EXP 	Sound  stopped
179.9659 	EXP 	Sound  started
180.7725 	EXP 	Sound  stopped
180.7726 	EXP 	Sound  started
181.5802 	EXP 	Sound  stopped
181.5802 	EXP 	Sound  started
182.3880 	EXP 	Sound  stopped
182.3880 	EXP 	Sound  started
183.1945 	EXP 	Sound  stopped
183.1945 	EXP 	Sound  started
184.0025 	EXP 	Sound  stopped
184.0026 	EXP 	Sound  started
184.8100 	EXP 	Sound  stopped
184.8100 	EXP 	Sound  started
185.6177 	EXP 	Sound  stopped
185.6177 	EXP 	Sound  started
186.4250 	EXP 	Sound  stopped
186.4250 	EXP 	Sound  started
187.2338 	EXP 	Sound  stopped
187.2338 	EXP 	Sound  started
188.0421 	EXP 	Sound  stopped
188.0421 	EXP 	Sound  started
188.8496 	EXP 	Sound  stopped
188.8497 	EXP 	Sound  started
189.6572 	EXP 	Sound  stopped
189.6572 	EXP 	Sound  started
190.4653 	EXP 	Sound  stopped
190.4653 	EXP 	Sound  started
191.2724 	EXP 	Sound  stopped
191.2724 	EXP 	Sound  started
192.0800 	EXP 	Sound  stopped
192.0800 	EXP 	Sound  started
192.8876 	EXP 	Sound  stopped
192.8876 	EXP 	Sound  started
193.6952 	EXP 	Sound  stopped
193.6952 	EXP 	Sound  started
194.5029 	EXP 	Sound  stopped
194.5029 	EXP 	Sound  started
195.3093 	EXP 	Sound  stopped
195.3093 	EXP 	Sound  started
196.1169 	EXP 	Sound  stopped
196.1169 	EXP 	Sound  started
196.9244 	EXP 	Sound  stopped
196.9245 	EXP 	Sound  started
197.7317 	EXP 	Sound  stopped
197.7317 	EXP 	Sound  started
198.5394 	EXP 	Sound  stopped
198.5394 	EXP 	Sound  started
199.4467 	EXP 	Sound  stopped
199.4468 	EXP 	Sound  started
200.2546 	EXP 	Sound  stopped
200.2546 	EXP 	Sound  started
201.0633 	EXP 	Sound  stopped
201.0633 	EXP 	Sound  started
201.8707 	EXP 	Sound  stopped
201.8707 	EXP 	Sound  started
202.6784 	EXP 	Sound  stopped
202.6785 	EXP 	Sound  started
203.4860 	EXP 	Sound  stopped
203.4860 	EXP 	Sound  started
204.2935 	EXP 	Sound  stopped
204.2935 	EXP 	Sound  started
205.1017 	EXP 	Sound  stopped
205.1017 	EXP 	Sound  started
205.9099 	EXP 	Sound  stopped
205.9100 	EXP 	Sound  started
206.7176 	EXP 	Sound  stopped
206.7176 	EXP 	Sound  started
207.5262 	EXP 	Sound  stopped
207.5263 	EXP 	Sound  started
208.3344 	EXP 	Sound  stopped
208.3344 	EXP 	Sound  started
209.1423 	EXP 	Sound  stopped
209.1424 	EXP 	Sound  started
