trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N,1,False,Control,N,N2,1,False
2,N,1,False,Control,N,N2,1,False
3,N,1,False,Control,N,N2,1,False
4,N,1,False,Control,N,N2,1,False
5,N,1,False,Control,N,N2,1,False
6,N,1,False,Control,N,N2,1,False
7,N,1,False,Control,N,N2,1,False
8,N,1,False,Control,N,N2,1,False
9,N,1,False,Control,N,N2,1,False
10,N,1,False,Control,N,N2,1,False
11,N,1,False,Control,N,N2,1,False
12,N,1,False,Control,N,N2,1,False
13,N2,12,True,Control,N,N2,1,False
14,N,1,False,Control,N,N2,1,True
15,N,1,False,Control,N,N2,1,False
16,N2,12,True,Control,N,N2,1,False
17,N,1,False,Control,N,N2,1,True
18,N,1,False,Control,N,N2,1,False
19,N,1,False,Control,N,N2,1,False
20,N,1,False,Control,N,N2,1,False
1,Ai,3,False,Experimental,Ai,N2,2,False
2,Ai,3,False,Experimental,Ai,N2,2,False
3,Ai,3,False,Experimental,Ai,N2,2,False
4,Ai,3,False,Experimental,Ai,N2,2,False
5,Ai,3,False,Experimental,Ai,N2,2,False
6,Ai,3,False,Experimental,Ai,N2,2,False
7,Ai,3,False,Experimental,Ai,N2,2,False
8,Ai,3,False,Experimental,Ai,N2,2,False
9,Ai,3,False,Experimental,Ai,N2,2,False
10,Ai,3,False,Experimental,Ai,N2,2,False
11,Ai,3,False,Experimental,Ai,N2,2,False
12,Ai,3,False,Experimental,Ai,N2,2,False
13,N2,12,True,Experimental,Ai,N2,2,False
14,Ai,3,False,Experimental,Ai,N2,2,True
15,Ai,3,False,Experimental,Ai,N2,2,False
16,Ai,3,False,Experimental,Ai,N2,2,False
17,Ai,3,False,Experimental,Ai,N2,2,False
18,Ai,3,False,Experimental,Ai,N2,2,False
19,N2,12,True,Experimental,Ai,N2,2,False
20,Ai,3,False,Experimental,Ai,N2,2,True
1,Ai,3,False,Experimental,Ai,N,3,False
2,Ai,3,False,Experimental,Ai,N,3,False
3,Ai,3,False,Experimental,Ai,N,3,False
4,Ai,3,False,Experimental,Ai,N,3,False
5,Ai,3,False,Experimental,Ai,N,3,False
6,Ai,3,False,Experimental,Ai,N,3,False
7,Ai,3,False,Experimental,Ai,N,3,False
8,Ai,3,False,Experimental,Ai,N,3,False
9,N,11,True,Experimental,Ai,N,3,False
10,Ai,3,False,Experimental,Ai,N,3,True
11,Ai,3,False,Experimental,Ai,N,3,False
12,N,11,True,Experimental,Ai,N,3,False
13,Ai,3,False,Experimental,Ai,N,3,True
14,Ai,3,False,Experimental,Ai,N,3,False
15,Ai,3,False,Experimental,Ai,N,3,False
16,Ai,3,False,Experimental,Ai,N,3,False
17,Ai,3,False,Experimental,Ai,N,3,False
18,Ai,3,False,Experimental,Ai,N,3,False
19,Ai,3,False,Experimental,Ai,N,3,False
20,Ai,3,False,Experimental,Ai,N,3,False
