trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N2,2,False,Experimental,N2,Ai,1,False
2,N2,2,False,Experimental,N2,Ai,1,False
3,N2,2,False,Experimental,N2,Ai,1,False
4,N2,2,False,Experimental,N2,Ai,1,False
5,N2,2,False,Experimental,N2,Ai,1,False
6,N2,2,False,Experimental,N2,Ai,1,False
7,N2,2,False,Experimental,N2,Ai,1,False
8,N2,2,False,Experimental,N2,Ai,1,False
9,Ai,13,True,Experimental,N2,Ai,1,False
10,N2,2,False,Experimental,N2,Ai,1,True
