trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,Ai,3,False,Experimental,Ai,unknown,2,False
2,Ai,3,False,Experimental,Ai,unknown,2,False
3,Ai,3,False,Experimental,Ai,unknown,2,False
4,Ai,3,False,Experimental,Ai,unknown,2,False
5,Ai,3,False,Experimental,Ai,unknown,2,False
6,Ai,3,False,Experimental,Ai,unknown,2,False
7,Ai,3,False,Experimental,Ai,unknown,2,False
8,Ai,3,False,Experimental,Ai,unknown,2,False
9,Ai,3,False,Experimental,Ai,unknown,2,False
10,Ai,3,False,Experimental,Ai,unknown,2,False
