trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,Ai,3,False,Experimental,Ai,N,3,False
2,Ai,3,False,Experimental,Ai,N,3,False
3,Ai,3,False,Experimental,Ai,N,3,False
4,Ai,3,False,Experimental,Ai,N,3,False
5,Ai,3,False,Experimental,Ai,N,3,False
6,Ai,3,False,Experimental,Ai,N,3,False
7,Ai,3,False,Experimental,Ai,N,3,False
8,Ai,3,False,Experimental,Ai,N,3,False
9,N,11,True,Experimental,Ai,N,3,False
10,Ai,3,False,Experimental,Ai,N,3,True
11,Ai,3,False,Experimental,Ai,N,3,False
12,N,11,True,Experimental,Ai,N,3,False
13,Ai,3,False,Experimental,Ai,N,3,True
14,Ai,3,False,Experimental,Ai,N,3,False
15,Ai,3,False,Experimental,Ai,N,3,False
16,Ai,3,False,Experimental,Ai,N,3,False
17,Ai,3,False,Experimental,Ai,N,3,False
18,Ai,3,False,Experimental,Ai,N,3,False
19,Ai,3,False,Experimental,Ai,N,3,False
20,Ai,3,False,Experimental,Ai,N,3,False
