trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N,1,False,Control,N,N2,1,False
2,N,1,False,Control,N,N2,1,False
3,N,1,False,Control,N,N2,1,False
4,N,1,False,Control,N,N2,1,False
5,N,1,False,Control,N,N2,1,False
6,N,1,False,Control,N,N2,1,False
7,N,1,False,Control,N,N2,1,False
8,N,1,False,Control,N,N2,1,False
9,N,1,False,Control,N,N2,1,False
10,N,1,False,Control,N,N2,1,False
11,N,1,False,Control,N,N2,1,False
12,N,1,False,Control,N,N2,1,False
13,N2,12,True,Control,N,N2,1,False
14,N,1,False,Control,N,N2,1,True
15,N,1,False,Control,N,N2,1,False
16,N2,12,True,Control,N,N2,1,False
17,N,1,False,Control,N,N2,1,True
18,N,1,False,Control,N,N2,1,False
19,N,1,False,Control,N,N2,1,False
20,N,1,False,Control,N,N2,1,False
