trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N,1,False,Control,N,N2,2,False
2,N,1,False,Control,N,N2,2,False
3,N,1,False,Control,N,N2,2,False
4,N,1,False,Control,N,N2,2,False
5,N,1,False,Control,N,N2,2,False
6,N,1,False,Control,N,N2,2,False
7,N2,12,True,Control,N,N2,2,False
8,N,1,False,Control,N,N2,2,True
9,N,1,False,Control,N,N2,2,False
10,N,1,False,Control,N,N2,2,False
11,N,1,False,Control,N,N2,2,False
12,N,1,False,Control,N,N2,2,False
13,N,1,False,Control,N,N2,2,False
14,N,1,False,Control,N,N2,2,False
15,N,1,False,Control,N,N2,2,False
16,N2,12,True,Control,N,N2,2,False
17,N,1,False,Control,N,N2,2,True
18,N,1,False,Control,N,N2,2,False
19,N,1,False,Control,N,N2,2,False
20,N2,12,True,Control,N,N2,2,False
21,N,1,False,Control,N,N2,2,True
22,N,1,False,Control,N,N2,2,False
23,N,1,False,Control,N,N2,2,False
24,N,1,False,Control,N,N2,2,False
25,N,1,False,Control,N,N2,2,False
26,N,1,False,Control,N,N2,2,False
27,N,1,False,Control,N,N2,2,False
28,N,1,False,Control,N,N2,2,False
29,N,1,False,Control,N,N2,2,False
30,N,1,False,Control,N,N2,2,False
31,N2,12,True,Control,N,N2,2,False
32,N,1,False,Control,N,N2,2,True
33,N,1,False,Control,N,N2,2,False
34,N,1,False,Control,N,N2,2,False
35,N,1,False,Control,N,N2,2,False
36,N,1,False,Control,N,N2,2,False
37,N,1,False,Control,N,N2,2,False
38,N,1,False,Control,N,N2,2,False
39,N,1,False,Control,N,N2,2,False
40,N,1,False,Control,N,N2,2,False
41,N,1,False,Control,N,N2,2,False
42,N2,12,True,Control,N,N2,2,False
43,N,1,False,Control,N,N2,2,True
44,N,1,False,Control,N,N2,2,False
45,N,1,False,Control,N,N2,2,False
46,N,1,False,Control,N,N2,2,False
47,N2,12,True,Control,N,N2,2,False
48,N,1,False,Control,N,N2,2,True
49,N,1,False,Control,N,N2,2,False
50,N,1,False,Control,N,N2,2,False
51,N,1,False,Control,N,N2,2,False
52,N,1,False,Control,N,N2,2,False
53,N,1,False,Control,N,N2,2,False
54,N,1,False,Control,N,N2,2,False
55,N,1,False,Control,N,N2,2,False
56,N,1,False,Control,N,N2,2,False
57,N,1,False,Control,N,N2,2,False
58,N2,12,True,Control,N,N2,2,False
59,N,1,False,Control,N,N2,2,True
60,N,1,False,Control,N,N2,2,False
61,N,1,False,Control,N,N2,2,False
62,N,1,False,Control,N,N2,2,False
63,N,1,False,Control,N,N2,2,False
64,N,1,False,Control,N,N2,2,False
65,N,1,False,Control,N,N2,2,False
66,N,1,False,Control,N,N2,2,False
67,N,1,False,Control,N,N2,2,False
68,N,1,False,Control,N,N2,2,False
69,N2,12,True,Control,N,N2,2,False
70,N,1,False,Control,N,N2,2,True
71,N,1,False,Control,N,N2,2,False
72,N,1,False,Control,N,N2,2,False
73,N,1,False,Control,N,N2,2,False
74,N,1,False,Control,N,N2,2,False
75,N,1,False,Control,N,N2,2,False
76,N,1,False,Control,N,N2,2,False
77,N2,12,True,Control,N,N2,2,False
78,N,1,False,Control,N,N2,2,True
79,N,1,False,Control,N,N2,2,False
80,N,1,False,Control,N,N2,2,False
81,N,1,False,Control,N,N2,2,False
82,N,1,False,Control,N,N2,2,False
83,N,1,False,Control,N,N2,2,False
84,N,1,False,Control,N,N2,2,False
85,N2,12,True,Control,N,N2,2,False
86,N,1,False,Control,N,N2,2,True
87,N,1,False,Control,N,N2,2,False
88,N,1,False,Control,N,N2,2,False
89,N,1,False,Control,N,N2,2,False
90,N,1,False,Control,N,N2,2,False
91,N,1,False,Control,N,N2,2,False
92,N,1,False,Control,N,N2,2,False
93,N,1,False,Control,N,N2,2,False
94,N2,12,True,Control,N,N2,2,False
95,N,1,False,Control,N,N2,2,True
96,N,1,False,Control,N,N2,2,False
97,N,1,False,Control,N,N2,2,False
98,N,1,False,Control,N,N2,2,False
99,N2,12,True,Control,N,N2,2,False
100,N,1,False,Control,N,N2,2,True
101,N,1,False,Control,N,N2,2,False
102,N,1,False,Control,N,N2,2,False
103,N,1,False,Control,N,N2,2,False
104,N,1,False,Control,N,N2,2,False
105,N,1,False,Control,N,N2,2,False
106,N2,12,True,Control,N,N2,2,False
107,N,1,False,Control,N,N2,2,True
108,N,1,False,Control,N,N2,2,False
109,N,1,False,Control,N,N2,2,False
110,N,1,False,Control,N,N2,2,False
111,N,1,False,Control,N,N2,2,False
112,N2,12,True,Control,N,N2,2,False
113,N,1,False,Control,N,N2,2,True
114,N,1,False,Control,N,N2,2,False
115,N,1,False,Control,N,N2,2,False
116,N,1,False,Control,N,N2,2,False
117,N,1,False,Control,N,N2,2,False
118,N,1,False,Control,N,N2,2,False
119,N,1,False,Control,N,N2,2,False
120,N,1,False,Control,N,N2,2,False
121,N2,12,True,Control,N,N2,2,False
122,N,1,False,Control,N,N2,2,True
123,N,1,False,Control,N,N2,2,False
124,N,1,False,Control,N,N2,2,False
125,N,1,False,Control,N,N2,2,False
126,N2,12,True,Control,N,N2,2,False
127,N,1,False,Control,N,N2,2,True
128,N,1,False,Control,N,N2,2,False
129,N,1,False,Control,N,N2,2,False
130,N,1,False,Control,N,N2,2,False
131,N,1,False,Control,N,N2,2,False
132,N,1,False,Control,N,N2,2,False
133,N,1,False,Control,N,N2,2,False
134,N,1,False,Control,N,N2,2,False
135,N,1,False,Control,N,N2,2,False
136,N,1,False,Control,N,N2,2,False
137,N2,12,True,Control,N,N2,2,False
138,N,1,False,Control,N,N2,2,True
139,N,1,False,Control,N,N2,2,False
140,N,1,False,Control,N,N2,2,False
141,N,1,False,Control,N,N2,2,False
142,N,1,False,Control,N,N2,2,False
143,N,1,False,Control,N,N2,2,False
144,N2,12,True,Control,N,N2,2,False
145,N,1,False,Control,N,N2,2,True
146,N,1,False,Control,N,N2,2,False
147,N,1,False,Control,N,N2,2,False
148,N,1,False,Control,N,N2,2,False
149,N,1,False,Control,N,N2,2,False
150,N,1,False,Control,N,N2,2,False
151,N,1,False,Control,N,N2,2,False
152,N,1,False,Control,N,N2,2,False
153,N,1,False,Control,N,N2,2,False
154,N,1,False,Control,N,N2,2,False
155,N2,12,True,Control,N,N2,2,False
156,N,1,False,Control,N,N2,2,True
157,N,1,False,Control,N,N2,2,False
158,N,1,False,Control,N,N2,2,False
159,N,1,False,Control,N,N2,2,False
160,N,1,False,Control,N,N2,2,False
161,N,1,False,Control,N,N2,2,False
162,N,1,False,Control,N,N2,2,False
163,N,1,False,Control,N,N2,2,False
164,N,1,False,Control,N,N2,2,False
165,N,1,False,Control,N,N2,2,False
166,N2,12,True,Control,N,N2,2,False
167,N,1,False,Control,N,N2,2,True
168,N,1,False,Control,N,N2,2,False
169,N,1,False,Control,N,N2,2,False
170,N,1,False,Control,N,N2,2,False
171,N,1,False,Control,N,N2,2,False
172,N,1,False,Control,N,N2,2,False
173,N,1,False,Control,N,N2,2,False
174,N,1,False,Control,N,N2,2,False
175,N,1,False,Control,N,N2,2,False
176,N2,12,True,Control,N,N2,2,False
177,N,1,False,Control,N,N2,2,True
178,N,1,False,Control,N,N2,2,False
179,N,1,False,Control,N,N2,2,False
180,N,1,False,Control,N,N2,2,False
181,N,1,False,Control,N,N2,2,False
182,N,1,False,Control,N,N2,2,False
183,N,1,False,Control,N,N2,2,False
184,N,1,False,Control,N,N2,2,False
185,N,1,False,Control,N,N2,2,False
186,N,1,False,Control,N,N2,2,False
187,N2,12,True,Control,N,N2,2,False
188,N,1,False,Control,N,N2,2,True
189,N,1,False,Control,N,N2,2,False
190,N,1,False,Control,N,N2,2,False
191,N,1,False,Control,N,N2,2,False
192,N,1,False,Control,N,N2,2,False
193,N,1,False,Control,N,N2,2,False
194,N,1,False,Control,N,N2,2,False
195,N,1,False,Control,N,N2,2,False
196,N,1,False,Control,N,N2,2,False
197,N,1,False,Control,N,N2,2,False
198,N2,12,True,Control,N,N2,2,False
199,N,1,False,Control,N,N2,2,True
200,N,1,False,Control,N,N2,2,False
201,N,1,False,Control,N,N2,2,False
202,N,1,False,Control,N,N2,2,False
203,N,1,False,Control,N,N2,2,False
204,N,1,False,Control,N,N2,2,False
205,N,1,False,Control,N,N2,2,False
206,N,1,False,Control,N,N2,2,False
207,N,1,False,Control,N,N2,2,False
208,N,1,False,Control,N,N2,2,False
209,N2,12,True,Control,N,N2,2,False
