trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N2,2,False,Experimental,N2,Ai,1,False
2,N2,2,False,Experimental,N2,Ai,1,False
3,N2,2,False,Experimental,N2,Ai,1,False
4,N2,2,False,Experimental,N2,Ai,1,False
5,N2,2,False,Experimental,N2,Ai,1,False
6,N2,2,False,Experimental,N2,Ai,1,False
7,N2,2,False,Experimental,N2,Ai,1,False
8,N2,2,False,Experimental,N2,Ai,1,False
9,Ai,13,True,Experimental,N2,Ai,1,False
10,N2,2,False,Experimental,N2,Ai,1,True
1,Ai,3,False,Experimental,Ai,unknown,2,False
2,Ai,3,False,Experimental,Ai,unknown,2,False
3,Ai,3,False,Experimental,Ai,unknown,2,False
4,Ai,3,False,Experimental,Ai,unknown,2,False
5,Ai,3,False,Experimental,Ai,unknown,2,False
6,Ai,3,False,Experimental,Ai,unknown,2,False
7,Ai,3,False,Experimental,Ai,unknown,2,False
8,Ai,3,False,Experimental,Ai,unknown,2,False
9,Ai,3,False,Experimental,Ai,unknown,2,False
10,Ai,3,False,Experimental,Ai,unknown,2,False
1,N,1,False,Experimental,N,unknown,3,False
2,N,1,False,Experimental,N,unknown,3,False
3,N,1,False,Experimental,N,unknown,3,False
4,N,1,False,Experimental,N,unknown,3,False
5,N,1,False,Experimental,N,unknown,3,False
6,N,1,False,Experimental,N,unknown,3,False
7,N,1,False,Experimental,N,unknown,3,False
8,N,1,False,Experimental,N,unknown,3,False
9,N,1,False,Experimental,N,unknown,3,False
10,N,1,False,Experimental,N,unknown,3,False
